Classificacao,Text
A FAVOR,O #Triplex atribuído a #Lula tem um #Elevador privativo que liga os andares do apartamento https://t.co/gtlM4Zj7d2 #Guarujá https://t.co/4F3nkQIEla
A FAVOR,"#Ladrão #preso, #Lula dá #falsa #sensação de #liberdade ao #covil do PT https://t.co/tyHDjaGcZe #politica"
A FAVOR,"#FHC apostou em #Lula esperando que este seria um desastre e ele,FHC, voltaria nos braços do povo. Deu tudo errado e foi jogado no ostracismo, onde ficou por anos, escondido por um PSDB envergonhado,que nunca defendeu o legado das suas administrações. Um beócio sem classificação"
A FAVOR,#Lula pediu que o ministro do Supremo Edson Fachin recuse o #Pedido da Procuradoria-Geral da República para que um processo contra o ex-presidente não seja enviado ao juiz Sérgio #Moro https://t.co/ppJaFDhGhi #PGR #Stf https://t.co/wo2ls7GTHI
CONTRA,"#FHC, na minha visão, é o responsável direto por tudo isto que aconteceu no país, apos ter deixado o governo. Quando sugeriu que esquecessem tudo que escreveu e disse, já mostrava a verdadeira personalidade ou a falta dela. Foi o principal cabo eleitoral de #Lula em 2002."
CONTRA,@jandira_feghali Mas o que o #DiaMundialDoLivro tem a ver com o #Lula ?
A FAVOR,#Lula fora da cadeia em breve! https://t.co/MduEiYnchv
CONTRA,O @STF_oficial está brincando com fogo ao forçar um argumento falacioso para soltar o traidor-mor da Pátria. Tomara que respeitem a combalida justiça deste sofrido país. #Bolsonaro2018 #Lula
CONTRA,"Visitas a #Lula ? Vão trabalhar #ladroes filhos da puta , vermes cara de pau. Vão tudo tomar no cu ! #Caralho , essa #corja de bandidos faz e desfaz , não tem ninguém que os impeçam ? @dilmabr vai trabalhar #anta , você também @gleisi #amante #safada @LulapeloBrasil @STF_oficial"
CONTRA,"@deltanmd @JornalOGlobo Senhor, nós os brasileiros queremos saber como condenaram o #Lula por um triplex #atribuído à ele se agora vemos que as #provas não correspondem aos fatos narrados no processo. Deixa de ficar reproduzindo notícias e venha aqui postar sua defesa, pois vocês tem muito a explicar."
A FAVOR,"#Dilma, #Gleisi #Hoffiman e #Lindbergh é impedidos de fazer visita ao #ex #presidente #Lula
 https://t.co/wZfWbVuOJ4 via @YouTube"
A FAVOR,"⚠#ELEIÇÃO2018🗳⚠
👉https://t.co/FLnwIn7L4f
👉#SÓ! O QUE INTERESSA A Famíglia #MARINHO's @redeglobo &amp; #TV's DO #BRASIL🇧🇷█
#Televisão #Política #Corrupção #Lula #Dilma #PT #Alckmin #PSDB #Temer #PMDB #Eleição
,,#QUÊ? #DEMOCRACIA QUEREM PRO #BRASIL🇧🇷█ 
#NinguémViuTÁ?!
🙈█"
A FAVOR,"#PT reafirma candidatura de #Lula à presidência da República
https://t.co/OMPst7UFYM"
A FAVOR,"#PT reafirma candidatura de #Lula à presidência da República
https://t.co/jXmjeKpZWJ"
A FAVOR,"Na Fotoarena, cobertura da visita da ex-presidente #Dilma #Rousseff ao acampamento em apoio a ex-presitende #Lula, em frente à sede da Polícia Federal, em Curitiba. https://t.co/fXdm3WBZ7f https://t.co/ndWJegtxgU"
A FAVOR,O diretório do #PT formalizou a candidatura de #Lula à Presidência da República https://t.co/59Hd6VmLKU #PresidênciaDaRepública https://t.co/uitOd4UF23
A FAVOR,@cinepop Ele só quer saber do #Lula agora
A FAVOR,"Vamos todos solicitar visitas ao #Lula, vamos!  É só copiar o Martinho da Vila, enviando e-mail! #LulaLivre #DiaMundialdoLivro #LulaPresoPolitico https://t.co/hsDzNLIeBX"
A FAVOR,Globo tentou entenda esconder #Lula liderando com mais do dobro de votos do segundo colocado! #LulaLivre https://t.co/Rb5XJL0Kdv
A FAVOR,Diretório do #PT formaliza candidatura de #Lula para presidente: Imagem: Reprodução / Redes… https://t.co/JaTiZVWDzL
A FAVOR,"O senador @lindberghfarias fala da decisão da justiça em impedir a visita da @dilmarousseff13 ao amigo #Lula, comenta sobre a justiça barrar tb a visita de deputados. E o esperado “boa noite presidente Lula” dessa vez teve o sotaque sergipano com @RogerioPT13 @MarcioMacedoPT https://t.co/zlDfQNeMzL"
A FAVOR,"@augusto0269 @cenossaum @requiaopmdb Nossa, é o mesmo discurso, com as mesmas palavras... Parece papagaio. Quer saber? Meu pai foi militante do #PT nos anos 80 e 90, votamos no #Lula em 2002 e fomos comemorar a vitória dele na Paulista. Só que pensamos. Isso nos diferencia."
A FAVOR,"Você Errou Luis... https://t.co/GTiR7zdXJZ via @YouTube

#Lula"
CONTRA,"Podem até soltar o #Lula. O que eu não acredito. Mas, ele já está morto politicamente. Isto é o que importa."
CONTRA,"Sabe o que aconteceu, @CheZeGuevara? A estratégia de vocês foi tão boa que mandou o seu Guru #Lula pra prisão perpétua. Triste, hein? Vocês são muito burros."
A FAVOR,"""Não faz bem para o País #Lula preso"", disse Marcos Valério, operador do #Mensalão https://t.co/PIoIWKCY6a #Entrevista #MarcosValério #Prisão https://t.co/FHxwn4tFPO"
CONTRA,"Se o #Lula, ou a #Dilma, ou até mesmo, o #Temer, fizeram algo pelo #Brasil, aprendam uma coisa: eles fizeram mais que a obrigação de quem foi #eleito pelo #povo, e ainda fizeram pouco, perto do que esse #país precisa!"
A FAVOR,"Em #Carta, o ex-presidente #Lula disse para o #PT ""ficar à vontade"" ao decidir sobre a #Candidatura à Presidência da República https://t.co/o6AdRqaGeV #GleisiHoffmann #Leitura #PresidênciaDaRepública https://t.co/a7Q5mgDWQw"
A FAVOR,"De acordo com o PT, que considera a condenação e prisão do ex-presidente injustas, ""a liberdade de Lula tornou-se questão central para a retomada do processo democrático no Brasil"".

#lula #pt #eleições #dgabc https://t.co/dWw8Am815V"
CONTRA,"Deve ser o mesmo que #Lula fez, veja aonde ele está agora. https://t.co/jH8q5HAQ6W"
A FAVOR,"Seu @BlogdoJuca em 17, torcia para o Vitória ficar na série A para termos mais representatividade dos Nordeste, claramente sendo preconceituoso contra o Sul do país. Mas não, isso é só opinião. Quando um sulista manda prender o #lula, aí e preconceito. https://t.co/y54SlWWHLa"
A FAVOR,"O juiz mais tosco, pífio e Zé Ruela de todo Judiciário só perde pro Moro Vergonha Alheia e pra Moura Carcereira #LulaValeALuta #Lula #LulaLivreJá #LulaLala https://t.co/xUjI0PlfYP"
A FAVOR,Juíza não permite que Dilma e amigos visitem Lula na prisão https://t.co/QSfV4da9bf #BlogdaKatyta #Dilma #juíza #Lula #prisão #visita via @KatytaSV
A FAVOR,Justicia de Brasil niega visita de Dilma a #Lula da Silva ►https://t.co/DwWVkVXZrq
CONTRA,Isso ja ta virando vergonha alheia... #LulaPreso #Lula https://t.co/pHcohH2Vdz
A FAVOR,@CorteIDH @guardian @gleisi @OEA_oficial @ONU_derechos @CIDH @NewYorkTimes11 @brasil247 @theintercept @lemondefr @wadih_damous @J_LIVRES @DeputadoFederal @FoxNews @CNJ_oficial @MPF_CNMP @DCM_online @Pontifex_es @elpais_brasil O CIDH precisa intervir URGENTE. Moro precisa ser notificado sobre possíveis atos extremos que poderão ser praticado contra #Lula. Ele já é suspeito e precisa ser afastado imediatamente e #Lula solto. Estão sendo DESUMANO COM LULA ! Já avisei inúmeras vezes à ONU OEA E CIDH
CONTRA,todo mundo querendo visitar o #lula na cadeia... sr #moro arrumar uma vaguinha para todos eles... sei que nao sera dificil 😉👍 #lula
A FAVOR,"@OduwaldoCalixto @partidonovo30 E lembrando que o Fôro de origem do processo contra #Lula , É da cidade de Guarujá-SP, onde o processo ocorrido absolveu todos implicados no Triplex, menos o #Lula que o juiz Moro desmembro, usurpou o Fôro para Curitiba-PR e montaram a Farsa para condenar 1 inocente: https://t.co/7LaYkpfybq"
CONTRA,"#SegundaDetremuraSDV 
Estou em processo de resiliência...
Bem #Lula"
A FAVOR,Juíza não permite que Dilma e amigos visitem Lula na prisão https://t.co/FGbp5d8xJH #BlogdaKatyta #Dilma #juíza #Lula #prisão #visita via @KatytaSV
CONTRA,Já descidi ou #Lula ou #Anula
A FAVOR,Entrevista de cliente para a @gazetadopovo sobre a atualização das redes sociais do ex-presidente Lula #DireitoEleitoral #Lula #RedesSociais #AssessoriadeComunicação #Cliente https://t.co/LiRx8sKrUW
A FAVOR,@ArrudaLiege @Elane_FSG @pahega @EricBattistelli @ElaineG16 @Mavsampaio @JotaKar @hamenteslivres @Lelecoutz @MariaTerezaNav1 @mmarescast @Odracyra @Gabriel6828 Achei isso o cúmulo do absurdo uma ditadura diretamente direcionada a #LULA  o povo precisa sair da casinha e acorda pra vida! #LulaLivre https://t.co/QeBg1brtuD
A FAVOR,#Lula será solto pela segunda turma da #CorteBolivariana da #Impunidade. https://t.co/oR8RhyPYY5
A FAVOR,"Após ter visita a #Lula barrada, #Dilma disse que até na ditadura era possível receber amigos https://t.co/cBBIATWtgb #Prisão https://t.co/x3gNynawgF"
A FAVOR,"#Lula, o #corrupto, #pede #para #Fachin #negar #pedido da PGR e #não #enviar #processo a… https://t.co/dJ08jPqsa2"
A FAVOR,Lula diz que PT pode ficar à vontade para decidir sobre candidatura - #Lula https://t.co/JZS0ZZvSVG
A FAVOR,Recurso de Lula será julgado em sessão virtual do STF - #Lula https://t.co/ILylc6LHfi
A FAVOR,#CNJ inicia julgamento em que #Moro é acusado de violar Constituição com áudio de #Lula e #Dilma https://t.co/zmxpovyEIv
A FAVOR,"Resolução do  Diretório Nacional reafirma candidatura de Lula!
#LulaLivre #Lula Presidente"
CONTRA,@JornalOGlobo Hahahahaa quem tem 🍩 tem medo neh #Lula
A FAVOR,"O "" óbvio uLULAnte é 
#LULA LIVRE#.
Paz Presidente !"
A FAVOR,"É muita emoção, amigos! Todos os companheiros reunidos num único pensamento: passar a energia positiva desse acampamento inteiro, da nossa gente que quer #Lulalivre, num “boa noite, presidente”! Eu sou #Lula! Nós somos Lula! https://t.co/g7f0VB2ExM"
A FAVOR,Fachin manda recurso de #Lula contra prisão para 2ª Turma do #STF: Imagem: ReproduçãoO… https://t.co/4NxLN0pqQR
A FAVOR,"Será que agora o pessoal começará a entender porque entidades como a FIESP patrocinaram o golpe e os fizeram de pato? Que estão querendo que o povo se exploda porque, para eles, o que importa é o lucro?

#LulaValeALuta #LulaLivre #Lula https://t.co/wxCxGB6KZN"
CONTRA,"@o_antagonista Esse povo tem mesmo uma dificuldade muito grande de compreender o que é um #presopolítico e um #políticopreso - o que #Lula fez é abominável; mas, o que esses #Lulanáticos fazem é inadmissível!"
A FAVOR,"A visita da Comissão Externa da Câmara a @LulapeloBrasil foi suspensa. Querem isolar Lula, mas não vão conseguir. Somos milhões ecoando sua voz. Como falou o camarada Francisco Hélder qdo me parou p/ conversar em São Paulo: ""#Lula, estamos contigo para o q der e vier!"" #LulaLivre https://t.co/cSwhLE9vvT"
A FAVOR,"O negar as visitas a #Lula é uma atitude desumana que só tem comparação com as acções do tempo de Hitler  
#Lula #LulaLivre #LulaInocente #LulaPresoPolítico #Brasil #LulaNobelDaPaz #LulaValeALuta #OcupaCuritiba16odia #lulapelobrasil #LulaPelaPaz"
A FAVOR,PT #reafirma #candidatura de #Lula #para #presidente da #República https://t.co/soeLKGVc3q #politica
A FAVOR,@ingridspbr @MarceloQui #Lula e #Aécio são ladrões!
CONTRA,"Retweeted Vannessa AL (@pagvannessa):

O PT e sua guerra de narrativa. Querem forçar a impressão de que Lula é além do que ele realmente é: Um preso COMUM, numa cela COMUM pagando por seus crimes. #Lula #LavaJato"
A FAVOR,"#Lula foi preso para não governar para o povo.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/aBGHf562Z3"
A FAVOR,"Isso no Estado mais rico do Brasil! Em Curitiba a ""eficiência"" foi tanta que até passaram o processo de #Lula na frente! https://t.co/YGBOwRiYFQ"
CONTRA,@UOLNoticias Esses #petistas são uns ingratos !Menos de 1 mês e #Lula já até aprendeu a escrever!!!HAHAHA...Só rindo da cara de pau dessa #Gleisi lendo a carta q ela mesmo escteveu como se fosse do apenado.E tem militonto que acredita! https://t.co/PGUKW9tnGB
A FAVOR,"#PSDB #MBL
Paulo Henrique de Araújo, foi preso no último sábado sob a suspeita de abusar sexualmente de uma garota de oito anos.
#Lula #Lulalivre #Brasil #Lulainocente 
 https://t.co/4NA2iIp63O via @exame"
A FAVOR,"Alô, Vila Izabel!!! Martinho da Vila pede à Justiça do Paraná para visitar #Lula: ""Trata-se de uma visita de amizade, sem conotações políticas"", avisa ele, num email à 12a Vara Federal de Curitiba #LavaJato #direitoshumanos #corrupção #impunidade https://t.co/UEwm8Vutva"
A FAVOR,"Eu moro no sul, sou negro e pobre, essa fala é sobre mim, vivo cercado por fascistas e #Lula é a única esperança.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/O9sUTzfc3l"
A FAVOR,"Mais de 10.000 cartas, por enquanto: Cartas do povo brasileiro ao presidente #Lula! https://t.co/fvqPxFOMR8 via @lulapelobrasil"
A FAVOR,"O Partido dos Trabalhadores reafirma a candidatura presidencial de #Lula, na reunião do diretório nacional que aconteceu hoje em Curitiba. O sentimento de q Lula deve ser o próximo presidente n é apenas do partido e de nossa militância: é a vontade da maioria do povo brasileiro. https://t.co/OZZ5znj1Mu"
A FAVOR,Vc quer #Lula ? Então toma! @ptbrasil reafirma que @LulapeloBrasil é o candidato do partido na disputa pela Presidência do Brasil nas eleições de 2018. #LulaLivre  https://t.co/UwlIHrc3Je
CONTRA,"O PT e sua guerra de narrativa. Querem forçar a impressão de que Lula é além do que ele realmente é: Um preso COMUM, numa cela COMUM pagando por seus crimes. #Lula #LavaJato"
A FAVOR,"Prisão de #Lula é um ato covarde e desumano, é uma perseguição contra um líder pacífico e humano, defendido por militantes de direitos humanos no mundo todo.
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/UzIQNShcPY"
A FAVOR,"Retweeted CBN (@CBNoficial):

Entre os que tiveram pedidos rejeitados estão Dilma Rousseff, ativista ganhador do Nobel da Paz e comissão externa da Câmara. #Lula #NoArNaCBN
https://t.co/uYRqJux48C"
A FAVOR,"Jamais gostei da expressão 'eleição sem Lula é fraude', afirma Lula #otempo #lula #livro  https://t.co/4dW61fXPML https://t.co/WZxBnARIRp"
A FAVOR,"Entre os que tiveram pedidos rejeitados estão Dilma Rousseff, ativista ganhador do Nobel da Paz e comissão externa da Câmara. #Lula #NoArNaCBN
https://t.co/hK1qQAV2IB"
CONTRA,"@BlogDoPim Ninguém pode aceitar #Lula e corruptos soltos.
Marcação serrada!
@BlogDoPim👊👊👊👊👊"
A FAVOR,"@heldersalomao Hô #Lula danado!! Seu crime foi dar esperanças para um país/ povo excluído por 500 anos. Lula é preso político, julgado em um júri de excessão. #LulaLivre #LulaPresoPolitico  #LulaValeALuta"
A FAVOR,"O governo de #Lula foi ótimo, eu apoio esse trabalho.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/hXnKED28wx"
A FAVOR,"Juíza nega visita de Dilma, Ciro Gomes e deputados a Lula na prisão https://t.co/QhrIyxUC8K #CarolinaLebbos #Dilma #Lula"
A FAVOR,"Os programas sociais de #Lula inspiraram ações semelhantes pelo mundo.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/0k6woA2sOe"
A FAVOR,Justiça veta entrada de Dilma e deputados em cela de Lula - #Lula https://t.co/oY5U4giUul
A FAVOR,"Aécio réu é desafio para justiça e para a narrativa política
 https://t.co/y7V0yN3lfa  #aecio #lula #politica #pmdb #psdb#pt"
A FAVOR,#JUSTIÇA #PARTIDARIA #LULA #PRESO #POLÍTICO #PARATUDO #ANULATUDO #LULALIVRE #JÁ : Qual é o lado certo da história mesmo?! https://t.co/Fl7B4Ceo31
A FAVOR,"Só falta o STF gritar ""#Lula Livre"" https://t.co/YbHysv2wNS"
A FAVOR,"Imagens de um #Brasil fascista, um Brasil militarizado, um Brasil com Presos Políticos, um Brasil onde o #STF viola a constituição... 
#LulaValeALuta #OcupaCuritiba16odia #NobelparaLula #Lulalivre #LulaInocente #LulaPresoPolítico #LulaNobelDaPaz #Lula https://t.co/HfCzwkOAcm"
A FAVOR,"Quanto mais vejo quem está contra #Lula, mais o defendo.
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/kT4YSkOAVt"
A FAVOR,A Justiça negou uma visita de Dilma Rousseff e de deputados a #Lula na prisão https://t.co/gtRV3PI5G5 #DilmaRousseff https://t.co/IyKhVPHkci
CONTRA,Não quer ir também para a 'solitária' seja honesto e não precisará se encontrar com os 'monstrinhos'.  Diferentemente de #Lula que de honesto não tem nada. https://t.co/h4A1STqGYZ
A FAVOR,"Em carta ao PT, #Lula se diz feliz com a pesquisa e que quer sua liberdade https://t.co/UeBScvuRWw https://t.co/xk4PzT810H"
CONTRA,@calu_barros Se não me engano tem um cara até que famosinho da cut... A mesma que foi apoiar o #lula em SBC. Esse ai tb é bandido ou só pq é sindicalista ta ta tudo certo?
CONTRA,"FALA LULA, TUDO BEM?
QUE EXCELENTE IMÓVEL VOCÊ TEM, ESTÁ INTERESSADO EM VENDER ESSE TRIPLEX?
APARECENDO INTERESSADOS A @tchau_aluguelSP PODE FINANCIAR E FAZER TODA DOCUMENTAÇÃO DE COMPRA

OU SE PRECISAR DE CAPITAL DE GIRO, REFINANCIAMOS ELE PARA VOCÊ KKKKK

#Lula #lulatriplex https://t.co/0ArtT2NIj9"
A FAVOR,"A prisão de Lula e completamente ilegal!!

Sua inocência foi provada!!

E o que vemos agora, são as denúncias de todas as ilegalidades cometidas contra #Lula se confirmando!!

As Instituições Superiores de Justiça, tem que corrigir esta Farsa Jurídica imediatamente!!

#LulaLivre https://t.co/Zrwn8VSR9C"
A FAVOR,Nobel da Paz é aclamado em universidade e pede liberdade para o ex-presidente #Lula https://t.co/51XGXaQOlU
A FAVOR,Juíza nega todos os pedidos para visitar #Lula na prisão: Imagem: Leonardo Benassatto… https://t.co/I2VCKeCwGy
A FAVOR,"@VemPraRua_br #ForçaJuizaCarolina!
Sem trégua para #Lula e qq outro preso da #LavaJato!
#ALei deve ser cumprida, sem #Privilégios!"
A FAVOR,"Sobre a prisão de quem mesmo? Ah, sim: #Lula. https://t.co/XPCHW2GVUl"
A FAVOR,@cartacapital Excelente artigo. Parabéns.#LULA LIVRE #LULA INOCENTE #LULA PRESO POLÍTICO
A FAVOR,Gleisi abusa do devaneio ao dizer que Lula é preso político e está “isolado em regime de solitária” https://t.co/vh3c6EcsyY #Lula #GleisiHoffmann #PT #corrupcao #prisao #LavaJato #Petrolao
A FAVOR,"Em carta ao PT, #Lula diz: 'para mim, quero minha liberdade': Imagem: Reprodução / Redes… https://t.co/KNKMNUKD39"
A FAVOR,"Luta pela democracia, pela redução das desigualdades sociais e contra as injustiças! #LulaLivre #LulaValeALuta #Lula https://t.co/tsSyU8WeWi"
